time	MFCC
46.463	[-0.046460953516831015, -0.046376338074946344, 0.045608361677753742, 0.060311072713080019, 0.010509734573618536, -0.0062682465308935773]
46.649	[0.045844442274093782, -0.10156463362311917, -0.043077333936677509, 0.023366494540382109, 0.016141948445897714, 0.0090410917964434054]
46.928	[0.033491764908100734, -0.11382177633828609, -0.061537327324264306, -0.0014388268835604772, 0.089037556906316512, 0.039605647418421028]
47.137	[-0.049056733829323081, -0.14836830736250303, -0.058666256498144019, 0.0040269245126747268, 0.029079621117916683, 0.040418858288763668]
47.392	[-0.13481351256736687, -0.11614693854359504, -0.01258477474966241, 0.015807031865119902, 0.10711600397467992, 0.11980249184543643]
47.485	[-0.074686710048219002, -0.10785910327071867, 0.0081509756077159726, 0.019615536216404817, 0.039824968436327317, 0.039178061562972322]
47.787	[0.10898605986664057, 0.036091911629979212, 0.028075113734892642, 0.048141460110133559, 0.032636817445061111, -0.020572781095959572]
47.972	[0.18075989545414101, -0.072584615715934164, 0.026708421017728259, 0.15386506233656824, -0.051703980003460714, 0.037562876610405707]
48.112	[-0.025686940181958166, 0.017496566397881011, 0.10742362969995999, 0.087013556712729742, 0.015693223526821527, 0.042291130240883663]
48.344	[0.20022519063684041, -0.040934195561583814, 0.057751067100664015, 0.18830514449563338, 0.014917015174457806, -0.0044233954043912576]
48.437	[0.026665843287790366, -0.086908882737688598, 0.057742645325630872, 0.02808629471482179, 0.017366451944623256, 0.021423201881927017]
48.715	[0.13502127931252372, -0.13657789963718006, 0.0029153536606984312, 0.035099663628353657, 0.010558316668629919, 0.00092609800686538845]
48.762	[0.029059520357432683, -0.19511329995032309, -0.048107577004211928, 0.033317966466322457, 0.060567299913377011, 0.022172644328146859]
48.901	[-0.026751034780581866, -0.20016647112406594, -0.038030691407351568, 0.070641252441670577, 0.10745946844017742, 0.061033586155570835]
49.041	[0.029489328502700606, -0.091204201057674253, -0.02783824876147175, 0.10124169965201343, 0.084981758392283058, -0.03329057036220006]
49.203	[0.12563733450421743, -0.16172306297443126, -0.16259266196425665, 0.10566271625442271, 0.02451925259577133, 0.1254269509513305]
49.482	[0.065660252845979608, -0.053676634167451248, 0.053177774734666901, 0.019498512470626676, -0.0066283587641993947, 0.035354736725075997]
49.691	[0.10013494518511991, -0.030893175892232116, 0.016344314881931176, -0.015016319856300121, -0.037585121812783416, -0.0053459771613228457]
49.900	[0.01321423622202589, -0.086397497326559408, 0.016420814622453751, 0.015037311364578719, -0.090170380481391268, 0.0033310672624068983]
50.039	[0.01276244354380718, -0.13588652993933747, 0.029627697709133188, 0.045938107680338715, -0.051276864659274703, -0.031332498400918729]
50.271	[-0.028107105976750636, -0.084173204075623939, 0.0081330366170792468, -0.0061135252570008449, -0.014260250680606658, 0.045917446801461766]
50.434	[-0.0741347639235867, -0.11674971846381697, 0.013577301435444736, 0.0040152204003664708, -0.01182182114621076, 0.018401735850921606]
50.689	[-0.11592478876949612, -0.10622476852483284, -0.056639687940943519, -0.030863600845567656, -0.03097227818856009, -0.0054822785023870288]
50.921	[-0.099223813967830254, -0.23484119485758748, -0.093868808241456006, -0.046805515326583363, -0.053108308595309926, 0.065964094642505022]
50.991	[-0.10232051726638121, -0.15664937112519517, -0.009672372962351539, -0.029761017745076498, -0.060899313852935615, -0.02966312068028679]
51.130	[-0.047285508549807467, -0.14234239376813462, -0.016420589265958418, 0.026861858493554127, -0.061331873221492555, 0.03092861555677235]
