time	chroma	timbre	dB
41.711	[0.04, 0.023, 0.216, 1.0, 0.116, 0.212, 0.056, 0.244, 0.028, 0.043, 0.178, 0.031]	[27.661, -151.554, -73.088, -8.97, 9.898, -20.891, -11.308, -15.987, -0.48, -13.955, -13.747, 4.996]	-34.212
42.106	[0.254, 1.0, 0.145, 0.431, 0.115, 0.4, 0.111, 0.397, 0.113, 0.106, 0.266, 0.15]	[24.122, -126.866, -49.857, -91.517, 34.381, -47.935, -5.557, 42.789, 1.031, -13.251, 18.756, 6.119]	-37.739
42.261	[0.105, 0.035, 0.375, 1.0, 0.199, 0.146, 0.067, 0.13, 0.019, 0.095, 0.556, 0.24]	[29.776, -40.62, -74.349, -84.537, 28.6, -8.586, -5.259, -51.354, 14.899, -0.855, -26.653, 16.87]	-33.695
42.714	[0.15, 0.523, 0.147, 0.128, 0.121, 0.341, 0.446, 1.0, 0.128, 0.098, 0.128, 0.061]	[38.754, -41.295, -31.55, -101.638, 36.658, 22.588, -18.765, -40.007, 7.739, 20.454, -29.103, 5.789]	-34.235
42.897	[0.368, 0.705, 0.211, 0.224, 0.122, 0.259, 0.213, 1.0, 0.157, 0.048, 0.114, 0.107]	[43.335, 81.208, -73.944, -49.289, 68.522, -13.131, -23.319, -15.767, 35.067, -35.989, 4.163, 8.942]	-24.042
43.055	[0.159, 0.203, 0.08, 0.216, 0.245, 1.0, 0.137, 0.519, 0.071, 0.019, 0.041, 0.041]	[47.145, -4.662, 5.463, -38.269, 58.104, -15.416, -36.709, -17.155, 29.621, 36.226, -2.353, 4.91]	-20.921
43.229	[0.535, 0.217, 0.451, 1.0, 0.412, 0.36, 0.06, 0.251, 0.058, 0.067, 0.415, 0.661]	[44.854, -48.02, -24.349, 62.833, 66.749, -30.49, -26.164, -10.972, 17.594, -6.082, -48.213, 47.126]	-13.956
43.626	[0.12, 0.17, 1.0, 0.051, 0.059, 0.491, 0.038, 0.018, 0.02, 0.256, 0.085, 0.03]	[45.802, -23.406, 4.656, -23.871, 72.074, -2.307, -20.035, 5.905, 47.743, 17.795, 1.836, 7.269]	-23.650
44.315	[0.537, 1.0, 0.272, 0.118, 0.21, 0.394, 0.098, 0.032, 0.042, 0.219, 0.076, 0.055]	[35.801, -47.591, -12.273, -18.673, 35.707, -32.544, -10.621, -10.347, 37.079, 14.641, -16.966, -6.105]	-27.121
44.456	[0.868, 1.0, 0.85, 0.855, 0.39, 0.57, 0.272, 0.211, 0.488, 0.506, 0.792, 0.597]	[37.874, 98.332, -92.53, -57.35, 98.74, -22.914, -24.404, -32.954, 35.201, -33.967, 6.063, -7.07]	-26.962
44.548	[0.185, 0.077, 0.495, 0.033, 0.058, 1.0, 0.059, 0.025, 0.009, 0.227, 0.013, 0.013]	[42.137, -20.709, -41.076, -2.361, 27.503, -14.189, -75.576, -39.73, 13.667, 27.99, -31.807, 13.566]	-23.670
