time	chroma	timbre	dB
17.775	[0.078, 0.068, 0.083, 0.058, 0.059, 0.101, 0.607, 1.0, 0.234, 0.06, 0.059, 0.083]	[35.488, 111.776, -90.772, 56.728, -50.176, -68.105, -3.775, -69.213, -47.562, 23.048, -22.559, 6.17]	-30.072
18.024	[0.139, 0.27, 0.574, 1.0, 0.362, 0.027, 0.027, 0.043, 0.012, 0.112, 0.308, 0.093]	[36.524, 65.337, -71.145, 65.782, -5.946, -84.382, -0.292, -3.924, -30.933, 8.079, -10.911, -4.466]	-32.381
18.242	[0.611, 1.0, 0.286, 0.268, 0.342, 0.379, 0.307, 0.258, 0.187, 0.195, 0.247, 0.149]	[41.161, 83.511, -28.486, -63.354, 42.371, 62.405, -2.442, -20.46, 25.043, -4.321, -10.746, -34.253]	-30.841
18.368	[0.705, 1.0, 0.153, 0.08, 0.236, 0.226, 0.376, 0.366, 0.475, 0.568, 0.524, 0.046]	[44.09, 94.81, 10.24, -24.752, 39.031, -2.197, -26.392, 13.976, 32.12, 19.444, -17.611, -18.57]	-19.891
18.530	[0.869, 1.0, 0.11, 0.105, 0.094, 0.102, 0.098, 0.138, 0.257, 0.257, 0.55, 0.065]	[42.752, 123.113, 5.603, 71.519, -9.198, -89.379, -36.827, 25.747, -0.95, 3.212, -18.678, -0.93]	-17.359
18.628	[0.593, 1.0, 0.139, 0.036, 0.045, 0.08, 0.095, 0.128, 0.304, 0.212, 0.39, 0.075]	[41.573, 128.659, 14.335, -34.881, 66.04, -5.945, -68.909, -20.542, 37.201, 31.775, -2.034, -18.454]	-23.547
18.779	[0.244, 1.0, 0.052, 0.238, 0.202, 0.173, 0.357, 0.359, 0.511, 0.515, 0.538, 0.052]	[42.969, 94.421, -66.837, 3.771, 16.952, -60.055, -63.252, -1.815, 27.332, 33.186, -24.481, -16.671]	-19.364
18.956	[0.28, 0.706, 0.921, 1.0, 0.985, 0.575, 0.259, 0.215, 0.239, 0.419, 0.221, 0.236]	[40.928, 108.51, -0.751, -82.561, 23.602, -6.376, -2.377, -20.599, 37.488, 26.205, -9.407, -14.869]	-23.787
19.156	[0.923, 0.997, 0.876, 0.865, 0.543, 0.548, 0.66, 0.663, 0.885, 0.798, 1.0, 0.719]	[45.259, 76.972, 12.378, -29.573, 32.491, -43.136, 2.878, -7.665, 50.047, 38.521, -5.914, -14.587]	-17.326
19.220	[0.154, 1.0, 0.461, 0.402, 0.236, 0.22, 0.08, 0.088, 0.07, 0.104, 0.035, 0.08]	[46.258, 93.895, 4.353, -19.796, 27.069, -32.084, 1.123, 3.114, 53.736, 15.133, -31.319, -20.836]	-14.554
