time	ZC
282.006	0.138
282.262	0.227
282.517	0.133
282.657	0.222
282.773	0.275
283.005	0.096
283.260	0.124
283.516	0.143
283.771	0.310
284.003	0.158
284.259	0.518
284.282	0.219
284.514	0.131
284.770	0.290
285.002	0.181
285.257	0.239
285.536	0.126
285.768	0.311
286.000	0.233
286.023	0.146
286.256	0.228
286.511	0.137
286.766	0.319
287.022	0.243
287.254	0.205
287.509	0.129
287.579	0.157
287.765	0.308
288.020	0.131
288.253	0.198
288.508	0.165
288.763	0.224
289.019	0.159
289.251	0.309
289.274	0.203
289.506	0.147
289.762	0.267
290.017	0.153
290.273	0.151
290.505	0.090
290.760	0.311
290.900	0.259
291.016	0.243
291.271	0.195
291.527	0.183
291.759	0.256
292.014	0.134
292.270	0.192
292.502	0.165
292.525	0.137
292.757	0.252
293.013	0.133
293.268	0.187
293.547	0.040
293.570	0.139
293.756	0.250
294.011	0.124
294.034	0.096
294.266	0.200
294.568	0.194
294.754	0.381
294.893	0.239
295.010	0.200
295.265	0.160
295.520	0.169
295.753	0.386
295.776	0.238
296.008	0.136
296.263	0.199
296.519	0.167
296.751	0.244
297.006	0.163
297.262	0.202
297.517	0.107
297.773	0.273
297.889	0.149
298.005	0.119
298.260	0.189
298.516	0.120
298.771	0.296
299.003	0.233
299.027	0.120
299.259	0.146
299.514	0.158
299.770	0.294
300.002	0.131
300.257	0.197
300.513	0.094
300.559	0.091
300.768	0.288
301.000	0.088
301.256	0.221
301.511	0.127
301.767	0.275
302.022	0.124
302.254	0.542
302.277	0.195
302.510	0.104
302.765	0.293
303.020	0.222
303.253	0.254
303.322	0.171
303.531	0.119
303.763	0.285
304.019	0.091
304.251	0.197
304.506	0.130
304.762	0.288
305.017	0.140
305.250	0.176
305.505	0.181
305.528	0.114
305.760	0.238
306.016	0.139
306.271	0.150
306.503	0.099
306.759	0.257
307.014	0.118
307.246	0.365
307.270	0.239
307.525	0.124
307.757	0.228
308.013	0.123
308.268	0.194
308.524	0.072
308.756	0.426
308.779	0.242
309.011	0.114
309.267	0.182
309.568	0.105
309.754	0.222
310.010	0.106
310.265	0.197
310.497	0.092
310.567	0.114
310.753	0.409
310.892	0.187
311.008	0.199
311.263	0.181
311.519	0.276
311.751	0.312
312.007	0.297
312.030	0.246
312.262	0.208
312.517	0.158
312.773	0.514
312.842	0.453
313.005	0.153
313.260	0.281
313.516	0.130
313.585	0.218
313.771	0.287
314.003	0.132
314.259	0.249
314.514	0.086
314.654	0.210
314.770	0.295
315.002	0.128
315.257	0.209
315.281	0.194
315.513	0.206
315.768	0.231
316.000	0.112
316.256	0.195
316.511	0.148
316.767	0.279
316.999	0.201
317.022	0.136
317.254	0.203
317.510	0.118
317.765	0.203
318.020	0.132
318.253	0.244
318.508	0.174
318.601	0.489
318.764	0.358
