MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.15482993758516037, 0.20340182005967117, 0.086873075812409814, -0.1552084465408643, 0.12748455682860932, -0.071541519994919658, 0.068270285550242032, 0.11314496546051811, -0.038793581558953745, 0.031757771231544683, -0.016892829496253634, -0.058160526856011328]	0.253	16.997	F	29	5	1	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.214
[-0.076631367820597804, 0.054923715397333435, 0.062199851862719591, -0.024050733803284655, 0.023242074770240477, -0.040988653883596203, -0.0081687807666066536, -0.02274214197964743, -0.014508370633603749, 0.016427354722988428, -0.00872665170680559, -0.0066753481099668683]	0.194	17.020	G	43	7	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.188
[0.2279961620479628, 0.18633845323831419, 0.050667279205035949, 0.014390727753704216, 0.046099097921426031, -0.023477951402498025, -0.039647629312094715, -0.064448263798049674, -0.027888645536575173, 0.028418785418934649, 0.0030544637186519139, 0.031826603494116402]	0.222	17.252	F#	30	6	1	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.178
[0.1028158628192473, 0.061153403594945054, 0.11715461648184404, 0.012908804685794893, 0.0024859816590699518, -0.026397689431012911, -0.0058654902624280074, 0.013444888769746123, -0.024626700244028178, 0.0050820938045810123, -0.050839574948251434, 0.011291489525060275]	0.143	17.508	D	38	2	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.169
[0.035441818981299188, -0.010604642017698845, 0.049048254065328541, 0.070175149554705454, 0.021657869513293907, -0.0026156791907778901, 0.016894894155233937, -0.030745210171694768, -0.014036468043209419, -0.052178007664815798, -0.019106227221120237, -0.01701991185572934]	0.353	17.763	C#	37	1	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.258
[-0.080838980248370634, 0.02861584414270105, 0.02383785513439526, -0.014367057234671196, 0.051358378520156261, -0.035029451823679982, -0.0095446308518542071, 0.0011710556078181446, -0.082462462680710225, 0.011381757236308668, -0.028470982584699277, -0.010664314542670321]	0.475	18.019	C#	37	1	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.190
[0.10425597762989956, 0.012073632510142233, 0.0012610019105166214, 0.058452265788044633, 0.0053218005555070646, 0.0083498569274042898, 0.0082664849925060697, -0.033374376627400851, -0.003029051357357601, 0.0068941846845815913, 0.0063543497326273568, -0.012526099741440084]	0.187	18.274	D#	39	3	2	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.275
[-0.028740569645526556, 0.053117557576185116, -0.0016747991020993405, 0.031437049922038947, -0.014414386886493895, -0.054281001364211219, 0.0506456247769091, -0.032167332696507123, -0.071020805569735571, -0.074667730574598301, -0.031294969441083016, -0.047282145995577132]	0.383	18.506	D	38	2	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.184
[0.090012991058187372, 0.02464489790388779, 0.12459088271788817, 0.087431248725755792, 0.0024391375692478503, -0.048767154531405621, 0.049567760956139212, -0.045667310191360562, 0.048271481304424865, -0.059313057117095121, -0.043591309143516652, -0.025953616106613907]	0.318	18.646	C#	37	1	2	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.277
[0.028518065734610843, 0.0052245109190686128, 0.11012336268127233, 0.052618242530783718, -0.084685259279843744, -0.10053888221396237, 0.02691365656560863, -0.062844022516038156, -0.0046133177554606242, -0.022984948320291677, -0.0073237918130002596, -0.0096923013719223215]	0.361	18.762	A	81	9	5	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.255
