time	chordName	chordKey	chordMode	chordNotes
45.000	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
45.256	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
45.511	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
45.767	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
46.022	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.254	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.277	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
46.510	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
46.765	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
47.020	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
47.253	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
47.531	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
47.763	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
48.019	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
48.251	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
48.506	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
48.762	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
49.017	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
49.250	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
49.505	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
49.528	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
49.760	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
50.016	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
50.271	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
50.503	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
50.759	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
51.014	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
51.246	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
51.270	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
51.525	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
51.757	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
52.013	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
52.268	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
52.524	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
52.756	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
52.779	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
53.011	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
53.267	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
53.499	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
53.754	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
54.010	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
54.265	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
54.497	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
54.567	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
54.753	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
54.892	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
55.008	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
55.263	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
55.519	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
55.751	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
56.007	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
56.030	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
56.262	C#m	1	0	[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]
56.517	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
56.773	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
57.005	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
57.260	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
57.516	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
57.748	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
57.771	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
58.003	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
58.259	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
58.514	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
58.770	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
59.002	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
59.257	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
59.281	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
59.513	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
59.768	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
60.000	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
60.256	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
60.511	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
60.767	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
60.999	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
61.022	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
61.254	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
61.510	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
61.765	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
62.020	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
62.253	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
62.508	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
62.647	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
62.764	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
63.019	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
63.274	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
63.507	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
63.762	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
64.017	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
64.250	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
64.273	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
64.505	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
64.760	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
65.016	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
65.271	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
65.527	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
65.759	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
65.898	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
66.014	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
66.270	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
