time	chroma	timbre	dB
19.888	[0.33, 0.314, 0.625, 0.404, 0.76, 0.842, 0.767, 1.0, 0.302, 0.219, 0.316, 0.529]	[55.187, 67.398, 11.895, -38.673, 45.071, -47.156, 15.762, -19.787, 4.614, 28.387, -22.611, 5.597]	-6.175
20.334	[0.347, 0.119, 0.071, 0.075, 0.229, 0.076, 0.087, 0.183, 0.264, 1.0, 0.277, 0.138]	[56.111, 75.061, 50.074, -17.623, 32.538, -31.231, 49.811, 3.883, 15.504, 3.148, -4.4, 8.874]	-6.412
21.269	[1.0, 0.413, 0.12, 0.061, 0.085, 0.159, 0.102, 0.254, 0.068, 0.081, 0.049, 0.288]	[53.084, 3.456, 43.161, 23.811, 12.629, -60.726, 82.606, -32.975, -4.762, 5.186, 5.036, 18.6]	-8.316
21.490	[1.0, 0.276, 0.069, 0.047, 0.184, 0.042, 0.039, 0.293, 0.07, 0.217, 0.047, 0.325]	[55.282, 73.002, 56.486, 17.149, 58.226, -37.393, 60.396, 21.144, -0.613, -25.345, 5.408, 11.787]	-8.633
21.728	[0.44, 0.066, 0.027, 0.055, 0.275, 0.073, 0.093, 0.128, 0.381, 1.0, 0.388, 0.076]	[53.444, 25.59, 27.639, 27.555, 50.824, -43.433, 61.357, -29.114, -19.651, -12.502, -7.021, 30.279]	-8.116
22.158	[1.0, 0.459, 0.16, 0.135, 0.48, 0.089, 0.124, 0.242, 0.072, 0.109, 0.044, 0.453]	[52.278, 4.213, 107.873, -4.482, 1.464, 14.792, 104.052, 25.211, -13.442, -33.695, 7.077, 22.94]	-14.677
22.425	[0.078, 0.096, 0.039, 0.07, 1.0, 0.064, 0.024, 0.036, 0.263, 0.904, 0.274, 0.116]	[53.668, 37.474, 102.281, 18.849, -22.884, -28.229, 101.618, -2.001, -68.721, 22.708, -11.669, 30.059]	-9.654
22.645	[0.208, 0.259, 0.453, 0.291, 0.314, 0.312, 0.65, 1.0, 0.452, 0.195, 0.051, 0.525]	[54.776, 32.724, 49.187, 48.95, 46.62, -35.151, 78.917, -25.98, -44.551, -21.513, -2.875, 26.986]	-7.339
23.110	[0.81, 0.413, 0.296, 0.302, 0.819, 0.802, 1.0, 0.815, 0.503, 0.509, 0.122, 0.699]	[53.223, -21.767, 53.201, 53.277, 29.537, -48.111, 116.134, -25.372, -5.295, -2.432, 1.608, 14.781]	-10.042
23.272	[0.267, 0.13, 0.176, 0.253, 0.473, 0.172, 0.211, 0.107, 0.149, 0.378, 0.302, 1.0]	[52.175, -32.369, 100.303, -41.811, 36.713, -32.783, 94.899, 74.114, 0.501, -22.074, -7.853, 21.077]	-10.978
23.812	[0.093, 0.045, 0.418, 0.058, 0.032, 0.02, 0.278, 1.0, 0.23, 0.027, 0.018, 0.488]	[51.898, -35.417, 52.141, 31.734, 30.695, -63.423, 100.712, -43.588, -16.232, 30.596, -12.677, 17.657]	-10.108
24.044	[0.275, 0.482, 0.4, 0.4, 1.0, 0.492, 0.128, 0.118, 0.636, 0.862, 0.525, 0.222]	[54.232, 7.192, 78.423, 10.312, -6.163, -61.539, 103.033, -11.132, -33.093, 9.449, -11.89, 27.252]	-11.399
24.224	[0.051, 0.121, 0.018, 0.05, 0.897, 0.048, 0.016, 0.027, 0.166, 1.0, 0.261, 0.178]	[53.959, 9.037, 99.494, 41.004, -22.374, -18.422, 100.485, 16.843, -38.754, -27.696, -18.075, 18.44]	-7.044
24.474	[0.229, 0.262, 0.323, 0.209, 0.484, 0.364, 0.611, 0.815, 0.494, 1.0, 0.098, 0.174]	[54.395, 23.048, 68.798, 24.746, 48.162, -16.61, 76.412, -7.284, -26.266, -41.591, -12.269, 7.378]	-8.946
24.898	[0.935, 0.502, 0.325, 0.348, 0.439, 0.638, 0.292, 0.58, 0.15, 1.0, 0.186, 0.608]	[50.466, -83.519, 95.596, 8.16, 33.694, -29.096, 90.941, 41.5, 17.653, -27.658, -16.712, -10.436]	-11.023
25.182	[0.545, 0.317, 0.129, 0.093, 0.28, 0.077, 0.07, 0.23, 0.401, 1.0, 0.351, 0.406]	[54.747, 54.029, 34.141, 26.64, 62.751, -26.25, 68.434, -0.108, 11.896, -11.636, -8.763, -1.619]	-13.786
25.659	[0.032, 0.069, 0.423, 0.064, 0.079, 0.013, 0.282, 1.0, 0.235, 0.69, 0.055, 0.027]	[51.273, -56.661, 38.743, 53.337, 47.767, -60.48, 103.067, -50.156, 0.396, 37.625, -29.404, 1.889]	-11.230
25.879	[0.34, 0.448, 0.291, 0.344, 0.823, 0.626, 0.878, 0.872, 0.685, 1.0, 0.194, 0.029]	[50.261, -26.311, -8.447, 53.216, 25.394, -60.507, 80.805, -71.535, 3.704, -7.006, 12.486, -2.564]	-15.392
26.053	[0.129, 0.1, 0.039, 0.059, 0.338, 0.043, 0.058, 0.148, 0.121, 1.0, 0.111, 0.042]	[50.017, -92.853, 95.894, 2.473, 42.559, -25.893, 108.041, 34.003, 29.324, -26.775, -25.324, -11.872]	-12.926
26.331	[0.196, 0.269, 0.44, 0.305, 0.304, 0.403, 0.706, 1.0, 0.461, 0.571, 0.062, 0.088]	[53.082, 28.924, 11.255, 23.575, 77.124, -3.758, 64.423, -47.079, 9.032, -24.175, -0.729, 1.445]	-14.931
26.807	[0.709, 0.768, 0.287, 0.293, 0.289, 0.692, 0.389, 0.38, 0.221, 1.0, 0.198, 0.263]	[50.839, -3.138, 29.958, 53.327, 39.374, -82.492, 65.236, -48.598, 14.065, -2.336, 3.308, -10.449]	-13.413
27.039	[0.237, 0.199, 0.252, 0.454, 0.892, 0.317, 0.113, 0.17, 0.311, 1.0, 0.459, 0.334]	[55.641, 45.814, 23.242, 21.372, 71.999, -45.031, 52.477, -2.758, -3.182, -0.751, -15.917, 5.757]	-12.957
27.498	[0.303, 0.314, 0.476, 0.389, 0.341, 0.375, 0.887, 1.0, 0.344, 0.851, 0.547, 0.4]	[52.565, -18.508, 37.375, 42.718, 38.763, -38.56, 59.224, -8.115, 4.144, 11.838, -25.943, -4.484]	-8.805
27.929	[0.033, 0.098, 0.041, 0.088, 0.431, 0.057, 0.035, 0.057, 0.208, 1.0, 0.239, 0.072]	[46.768, -41.766, -0.381, 5.158, 43.865, -5.111, 90.798, -15.083, 38.536, -55.666, 2.286, 2.062]	-17.906
28.178	[1.0, 0.431, 0.122, 0.078, 0.127, 0.055, 0.079, 0.23, 0.094, 0.158, 0.062, 0.46]	[52.857, 53.687, -21.027, 16.514, 42.314, 0.77, 32.736, -6.39, -8.165, -11.718, 7.747, 4.253]	-18.179
28.594	[0.824, 0.545, 0.35, 0.52, 1.0, 0.802, 0.364, 0.348, 0.305, 0.824, 0.453, 0.482]	[48.875, 5.73, 10.838, 14.258, 5.052, -22.536, 25.866, 12.904, 15.958, -15.529, -41.528, 2.359]	-11.316
28.869	[0.107, 0.127, 0.048, 0.102, 0.559, 0.046, 0.039, 0.148, 0.173, 1.0, 0.262, 0.08]	[53.093, 95.061, 7.03, -30.014, 44.682, -17.688, 38.414, 8.224, 8.104, -10.347, -0.385, -8.112]	-17.837
29.118	[1.0, 0.452, 0.082, 0.023, 0.045, 0.026, 0.036, 0.173, 0.064, 0.072, 0.03, 0.353]	[50.672, 72.623, -74.091, 29.677, 16.334, -48.383, -14.249, -1.133, -11.583, -23.33, -33.098, 7.482]	-9.955
29.344	[1.0, 0.462, 0.091, 0.017, 0.051, 0.012, 0.01, 0.198, 0.094, 0.257, 0.049, 0.362]	[42.98, -11.134, -114.164, 61.174, 20.102, -55.21, 0.119, -73.873, -8.588, 15.022, -26.572, 15.669]	-18.826
29.560	[0.376, 0.446, 0.184, 0.19, 0.654, 0.125, 0.176, 0.054, 0.268, 1.0, 0.27, 0.271]	[44.274, 12.199, -119.394, 86.477, -14.07, -4.626, 4.945, -35.103, 5.181, -38.476, -27.826, 3.592]	-25.851
29.791	[0.208, 0.195, 0.053, 0.131, 0.654, 0.09, 0.065, 0.112, 0.381, 1.0, 0.351, 0.134]	[47.318, 49.175, -31.456, -0.73, 13.575, 73.485, 45.006, -39.293, 2.698, -17.951, -33.561, 1.814]	-27.886
30.011	[1.0, 0.392, 0.117, 0.048, 0.097, 0.055, 0.091, 0.305, 0.119, 0.135, 0.073, 0.438]	[51.16, 46.72, -33.706, 17.098, 27.855, 7.976, 17.613, -19.24, -1.226, -39.68, -39.386, 5.429]	-20.334
30.486	[0.484, 0.354, 0.127, 0.269, 0.805, 0.503, 0.164, 0.303, 0.251, 1.0, 0.428, 0.132]	[48.58, 2.964, -44.508, 59.753, 7.076, -12.106, 29.714, -19.759, 17.951, -22.174, 9.245, -10.485]	-17.264
30.711	[0.212, 0.164, 0.195, 0.369, 0.728, 0.199, 0.115, 0.167, 0.375, 1.0, 0.512, 0.301]	[52.881, 79.903, -10.247, -11.788, 45.318, -6.436, 20.035, -2.6, 0.458, -11.842, -9.369, -3.184]	-20.628
31.179	[0.446, 1.0, 0.902, 0.693, 0.867, 0.806, 0.735, 0.803, 0.511, 0.592, 0.192, 0.059]	[50.524, 1.83, 11.948, -9.527, 25.195, 0.249, 43.531, -37.349, -10.051, -1.683, -2.761, -16.941]	-13.998
31.289	[0.099, 0.131, 0.147, 0.138, 0.343, 0.156, 0.199, 0.158, 0.09, 1.0, 0.168, 0.104]	[52.525, -40.718, 79.931, 26.562, -2.573, -7.19, 84.495, 30.834, -17.477, -12.126, -22.841, 3.082]	-10.539
31.858	[0.2, 0.262, 0.368, 0.246, 0.371, 0.347, 0.597, 1.0, 0.453, 0.186, 0.066, 0.111]	[52.229, 31.711, 9.465, 34.487, 50.96, 4.261, 51.989, -1.091, 7.232, -51.386, -10.225, 1.304]	-15.481
32.334	[1.0, 0.599, 0.327, 0.333, 0.318, 0.804, 0.49, 0.727, 0.221, 0.302, 0.221, 0.47]	[47.975, 11.359, -29.301, 79.374, 21.227, -21.997, 35.613, -2.44, 30.678, -34.232, 16.808, -25.179]	-15.895
32.560	[0.085, 0.082, 0.085, 0.061, 0.504, 0.064, 0.051, 0.199, 0.171, 1.0, 0.295, 0.097]	[53.034, 85.327, 10.746, -30.859, 52.26, -5.346, 36.199, 10.295, 6.619, 4.561, 11.817, -14.007]	-22.105
32.804	[1.0, 0.416, 0.057, 0.022, 0.03, 0.019, 0.034, 0.168, 0.077, 0.08, 0.031, 0.324]	[50.641, 72.462, -69.42, 34.447, 16.946, -43.277, -7.201, -1.63, -13.12, -15.693, -28.539, 10.862]	-9.590
33.048	[0.013, 0.061, 0.469, 0.092, 0.027, 0.014, 0.355, 1.0, 0.245, 0.304, 0.069, 0.033]	[42.264, -17.999, -130.719, 50.994, 11.524, -90.142, 3.189, -58.306, -14.005, 25.573, -33.558, 18.653]	-19.273
