MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.0074885525625291698, 0.0041265632865126389, -0.030570600188246599, -0.036557995745550562, -0.02457161481180499, -0.011125310710499624, 0.043664588276445745, -0.010256189298363536, 0.023119960866637968, 0.005059060772207055, 0.035379899149260062, 0.02425895056004793]	0.106	11.285	F#	30	6	1	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.561
[0.079513390406541457, 0.12394588941422552, -0.021678550087851998, 0.0016987316690142188, 0.0027903741532915244, -0.013644883860337943, 0.051889688126887532, -0.02060978462873303, -0.0018872591242507567, -0.037004511579782073, -0.0011599398357007653, 0.0038982861342479035]	0.216	11.517	A	33	9	1	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.711
[0.0048595327275953873, 0.019534924321005481, -0.029788576558617729, -0.078401714447735443, 0.041365944190263779, -0.018301357843161663, 0.051701336500257468, -0.089580586523857655, 0.083267828253892909, 0.022863764966752922, 0.015999575027198169, 0.040686413930861962]	0.226	11.749	E	52	4	3	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.531
[-0.058592364347277819, -0.034201933779697567, -0.11117192930805311, -0.090480750040799765, 0.0076517553621165543, -0.02322254257542274, 0.031474082516639759, -0.059569473754818983, -0.032399250400807739, -0.025885361316213988, 0.055398207126887811, 0.017036267620049696]	0.315	11.981	A	57	9	3	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.460
[0.032784107916766315, -0.045790270757154097, 0.057921176674523782, -0.072538286608860192, 0.013047653728305596, -0.025242446066242281, 0.021807987538738017, -0.0031453246389679403, 0.0016114274651691048, -0.0059979903394987875, 0.020869165313395489, 0.031015099796729]	0.154	12.214	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.587
[0.08623065937027527, 0.069739717609042434, 0.015425454048207976, 0.0075618147125499089, 0.012846935834562803, 0.0013386859462925203, -0.027061827759512845, 0.0055696310229633242, -0.012913913954223082, -0.016320853008351004, 0.023882817396096569, -0.0027494892469868515]	0.169	12.446	B	35	11	1	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.526
[0.00309293743071422, -0.059875231602519799, -0.075363514794043282, -0.016237047928243348, -0.04067167209236229, -0.0359293239414578, -0.0018038820643643668, -0.020721628512865242, -0.061762655400589873, 0.038519085759915618, -0.037838470059664231, 0.040405678030042559]	0.745	12.678	B	59	11	3	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.328
[0.11604925267161709, -0.030104517035878235, -0.062712709634027849, -0.031017920927088442, -0.022291558873381724, 0.033817278187724162, 0.039476579269880886, -0.016515053122728066, -0.014521814582844845, -0.015467421065129045, 0.066523059316221531, 0.0048493872636063426]	0.243	12.910	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.549
[0.13489104265185947, 0.07217490697069584, -0.098487274201488895, -0.0073778348139471456, 0.010161774493235843, 0.020296244023573877, -0.0011578302716034731, 0.027435197648413061, 0.026526815054340069, 0.033869081267350269, 0.039213511603128789, 0.010241819087425169]	0.230	13.142	E	52	4	3	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.301
[0.048997391304259091, 0.13133493362643725, -0.0081429846146873798, 0.0079467265296760143, 0.0087755508783212716, -0.0090189153199361008, 0.015831079871329371, -0.041411056636155574, 0.0056054727046866634, -0.016159402546412002, -0.0091383542155063797, 0.010254091994605438]	0.208	13.375	F#	42	6	2	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]	0.693
