time	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6
82.245	0.151	0.254	-0.112	-0.045	-0.042	-0.039
82.268	0.038	0.092	-0.017	-0.047	-0.002	0.005
82.454	0.076	-0.006	-0.002	-0.104	-0.038	-0.024
82.547	0.027	0.051	-0.000	-0.059	-0.029	-0.037
82.756	0.087	0.065	0.026	-0.054	0.025	-0.020
82.988	0.096	0.055	0.012	-0.058	-0.044	-0.001
83.244	0.228	-0.042	-0.110	-0.011	-0.013	0.080
83.383	0.136	-0.054	-0.039	-0.082	0.039	0.013
83.754	0.423	0.139	-0.015	-0.129	0.025	-0.087
83.778	0.125	0.072	-0.047	-0.046	-0.085	0.013
83.894	0.085	0.036	-0.003	-0.049	-0.041	-0.015
84.126	0.164	0.080	-0.034	-0.100	-0.073	-0.062
84.242	0.119	0.015	-0.045	-0.004	-0.066	-0.045
84.497	0.104	0.046	-0.043	-0.003	-0.041	-0.023
84.683	0.064	0.058	-0.061	-0.025	0.058	0.023
85.008	0.100	0.039	-0.006	-0.034	-0.009	-0.043
85.264	0.172	0.065	0.024	-0.073	-0.048	-0.044
85.380	0.224	0.098	0.030	-0.070	-0.103	-0.031
85.403	0.069	-0.053	0.087	-0.090	0.035	-0.041
85.519	-0.048	0.015	0.032	0.012	0.010	-0.005
85.821	0.078	0.009	-0.091	0.000	0.045	0.005
86.007	-0.010	-0.033	-0.078	-0.013	-0.007	0.006
86.216	0.025	-0.049	-0.091	-0.042	0.013	0.005
86.541	0.129	0.070	-0.098	-0.086	0.078	-0.062
86.750	0.160	0.112	-0.024	-0.023	-0.065	-0.073
86.866	0.139	0.047	0.003	-0.084	0.018	-0.034
86.982	0.036	-0.039	-0.071	-0.066	-0.061	0.016
87.237	0.097	0.128	-0.021	-0.052	0.059	0.014
87.353	0.121	0.158	-0.015	-0.069	0.060	-0.019
87.493	0.088	0.097	-0.010	-0.017	-0.028	-0.077
87.609	0.063	0.041	-0.021	-0.034	-0.005	-0.073
87.980	0.097	-0.010	-0.024	-0.073	-0.003	-0.008
88.213	0.075	-0.001	-0.019	-0.048	-0.015	0.019
88.514	0.038	-0.017	-0.052	-0.033	0.004	0.017
88.747	0.001	-0.021	-0.086	-0.061	-0.048	-0.031
88.956	0.145	0.162	-0.119	0.009	-0.106	-0.078
89.002	0.068	0.066	-0.055	-0.013	-0.048	-0.053
89.118	0.073	0.109	-0.042	-0.031	-0.075	-0.052
89.420	-0.005	0.083	-0.027	-0.004	-0.054	0.072
89.559	-0.022	-0.038	-0.012	-0.052	-0.076	0.022
