time	MFCC	ZC	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
21.896	[-0.013585958915933952, -0.09504928983961039, -0.079980483795769594, -0.027176875230391719, -0.0088361978903484066, 0.0017554966934869864]	0.112	A#	58	10	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.206
22.082	[0.0059921147498333818, -0.0047333409937276678, -0.1227524817671289, -0.089191661410144521, 0.01591656574562858, 0.038675158397971636]	0.142	A#	58	10	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.203
22.268	[0.21652851773357837, 0.10576998951211267, -0.021411349493336403, -0.053816886862244395, -0.0010564831110317652, -0.12233896064150829]	0.132	G	43	7	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.628
22.361	[0.1786204940315608, 0.087163111705053517, -0.013067137018710422, -0.064556075287965933, -0.019972922367900287, -0.10623779920881783]	0.051	G#	44	8	2	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.517
22.639	[0.014622892914682604, -0.032631219362805108, -0.049091679085814556, -0.061349060483872037, -0.093198410744891422, -0.093143015003945492]	0.065	F	17	5	0	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.326
22.779	[0.16066340531703813, 0.041194125686361119, -0.16438585540740552, -0.1346213674821817, 0.0011749876894815497, -0.024281809192996731]	0.088	C#	1	1	-1	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.282
22.895	[0.075656192140698159, 0.029146255392897225, -0.056878194944528948, -0.092114113417198773, -0.070283575246461269, -0.036808418118879922]	0.149	G	43	7	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.261
22.988	[0.015504582408130491, 0.051142654134660397, -0.017438099867774021, -0.062077260713866274, -0.016903789990699549, -0.035162390682474107]	0.135	F#	6	6	-1	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.249
23.243	[0.0073818637936732224, -0.01726034980832724, -0.031611660271616111, -0.0101178014720394, 0.0031762474617059219, 0.012465995514842114]	0.051	G	-5	7	-2	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.250
23.406	[-0.0084157697049627687, 0.021762408930274448, 0.0042392499712537689, 0.0072480788795016345, 0.014751112074323461, 0.0030993368465838229]	0.148	D	2	2	-1	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.354
23.731	[0.50303300712868304, 0.39424208856516996, -0.030427270688603417, -0.12015593309052837, -0.060304038494642401, -0.028878650232664775]	0.045	C	48	0	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.392
23.754	[0.076424409359747494, 0.074227657622759471, -0.035042770976394688, -0.062633281089970821, -0.026633607226987575, -0.030635041874657015]	0.130	D#	51	3	3	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.295
24.242	[-0.015024726026525218, 0.071306865719028806, -0.096477579834604255, -0.078395629604792252, -0.018352228223906628, -0.077559945987200424]	0.304	D#	75	3	5	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.156
24.497	[0.13968591857200219, 0.15362146067551077, -0.028675918988938655, -0.090338468911931383, 0.040149573982858212, -0.035398516856636308]	0.342	A#	34	10	1	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.346
24.636	[0.15422310936246544, 0.011277064174502636, -0.10646501574347224, -0.035020665088059302, 0.034707721229229035, -0.097320934625063124]	0.166	A#	58	10	3	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.498
24.706	[0.070911176591823999, -0.041412534932226734, -0.06110392676883835, -0.05179546231982915, 0.030267182197788095, 0.0021950723368776891]	0.207	A	57	9	3	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.440
24.985	[0.042469834028132675, 0.10177134283821909, -0.1310412215219563, -0.063072365888677831, 0.077380090549333022, -0.045765544274676016]	0.257	B	47	11	2	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.216
